row,FF6 baseline,MAG7 replaces MKT,Nasdaq100 replaces MKT,MAG7 only,Nasdaq100 only
Alpha,0.158**,0.139**,0.159**,0.120*,0.128**
,(2.35),(2.11),(2.36),(1.94),(1.99)
Market/MAG7/Nasdaq,0.279**,0.245***,0.181,0.311***,0.308***
,(2.03),(2.90),(1.49),(4.45),(3.13)
SMB,-0.097,-0.084,-0.040,,
,(-0.54),(-0.47),(-0.23),,
HML,-0.301,-0.206,-0.298,,
,(-1.53),(-1.03),(-1.56),,
RMW,-0.133,-0.190,-0.139,,
,(-0.63),(-0.92),(-0.65),,
CMA,-0.207,-0.090,-0.189,,
,(-0.76),(-0.34),(-0.68),,
MOM,-0.123,-0.108,-0.126,,
,(-1.08),(-0.98),(-1.09),,
Obs,219,219,219,219,219
$R^2$,0.096,0.121,0.088,0.100,0.056
