,Daily / Top 20,Daily / Btm 20,Daily / L-S,Weekly / Top 20,Weekly / Btm 20,Weekly / L-S
alpha,0.222,-0.129,0.351,0.240,-0.232,0.471
,(1.25),(-0.30),(0.72),(1.07),(-0.54),(1.02)
mkt,0.866***,1.197***,-0.330,0.851***,1.214***,-0.364
,(11.51),(4.54),(-1.19),(9.08),(4.94),(-1.33)
smb,0.193,1.577***,-1.384***,-0.005,1.591***,-1.596***
,(1.50),(3.92),(-3.23),(-0.03),(4.17),(-4.07)
hml,-0.113,0.059,-0.172,-0.047,0.017,-0.065
,(-1.01),(0.17),(-0.46),(-0.37),(0.05),(-0.19)
rmw,0.156,0.209,-0.054,0.180,0.193,-0.013
,(1.09),(0.63),(-0.14),(1.11),(0.61),(-0.04)
cma,-0.110,-0.036,-0.074,0.065,-0.067,0.132
,(-0.74),(-0.07),(-0.13),(0.35),(-0.13),(0.25)
mom,0.131,-0.573***,0.704***,0.026,-0.518***,0.544**
,(1.63),(-2.79),(3.12),(0.29),(-2.59),(2.44)
Obs,205,205,205,205,205,205
