row,Daily/Top 20,Daily/Btm 20,Daily/L-S,Weekly/Top 20,Weekly/Btm 20,Weekly/L-S,Monthly/Top 20,Monthly/Btm 20,Monthly/L-S,Quarterly/Top 20,Quarterly/Btm 20,Quarterly/L-S
alpha,0.098*,0.062,0.036,0.103*,0.086,0.016,0.123**,0.047,0.076,0.138**,0.100,0.038
,(1.68),(0.51),(0.29),(1.68),(0.71),(0.13),(2.14),(0.38),(0.63),(2.38),(0.88),(0.34)
mkt,0.195**,0.515***,-0.319*,0.144,0.502***,-0.358**,0.296***,0.550***,-0.254,0.258***,0.459**,-0.200
,(2.15),(2.77),(-1.80),(1.46),(2.78),(-2.09),(2.95),(2.77),(-1.32),(2.67),(2.36),(-1.13)
smb,-0.131,-0.296,0.165,-0.098,-0.107,0.010,-0.158,-0.182,0.025,-0.142,-0.065,-0.077
,(-0.87),(-1.00),(0.53),(-0.60),(-0.38),(0.03),(-0.94),(-0.60),(0.08),(-0.75),(-0.24),(-0.26)
hml,-0.139,-0.120,-0.019,-0.071,-0.116,0.045,-0.133,-0.048,-0.085,-0.133,-0.181,0.048
,(-0.87),(-0.50),(-0.09),(-0.41),(-0.49),(0.21),(-0.87),(-0.20),(-0.38),(-0.78),(-0.83),(0.24)
rmw,-0.309**,-0.204,-0.105,-0.293*,-0.189,-0.104,-0.318*,-0.143,-0.175,-0.248,-0.035,-0.213
,(-1.98),(-0.76),(-0.35),(-1.73),(-0.69),(-0.35),(-1.77),(-0.49),(-0.55),(-1.28),(-0.13),(-0.74)
cma,-0.269,-0.730**,0.462,-0.180,-0.642*,0.461,-0.260,-0.565,0.305,0.005,-0.312,0.318
,(-1.17),(-2.10),(1.23),(-0.81),(-1.84),(1.31),(-1.17),(-1.48),(0.79),(0.02),(-0.88),(0.92)
mom,-0.147*,-0.635***,0.488***,-0.085,-0.571***,0.486***,-0.211**,-0.527***,0.316*,-0.060,-0.463**,0.403**
,(-1.84),(-3.58),(2.63),(-0.84),(-3.11),(2.80),(-2.35),(-2.80),(1.79),(-0.59),(-2.43),(2.28)
Sharpe,1.68,0.74,0.26,1.68,1.02,-0.01,1.99,0.73,0.60,2.23,1.17,0.35
Information Ratio,0.28,-0.15,-0.78,0.33,0.17,-1.01,0.95,-0.16,-0.49,1.33,0.28,-0.76
Up Capture,1.21,1.53,-0.15,1.18,1.66,-0.20,1.47,1.46,-0.02,1.50,1.25,0.08
Down Capture,1.14,1.44,-0.58,1.10,1.42,-0.60,1.20,1.41,-0.37,1.16,1.15,0.08
Obs,209,209,209,209,209,209,209,209,209,209,209,209
